FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288297,288297,POINT (16.465708372949635 48.26224931390271),22,Mistplatz Rinterzelt (Percostr.4),,+43 (1) 546 48,Mo-So: 7-18 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288298,288298,POINT (16.344560631240455 48.2113927844428),8,Hamerlingpl. 2 / Cafe Bistro Deli-Bluem,2,,Mo-So: 11-23 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288299,288299,POINT (16.417164137895842 48.222663947168236),22,Donauinsel Anlage Glaspalast,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Euro-Key-Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288300,288300,POINT (16.384743186368162 48.250145648829005),21,Donauinsel Anlage NEU 1,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288301,288301,POINT (16.501768296456085 48.1708511693422),22,Donauinsel Anlage NEU 6,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288302,288302,POINT (16.40251909699923 48.23904145814893),21,Donauinsel Anlage NEU 10,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288303,288303,POINT (16.350431610659392 48.29778243202391),21,Donauinsel Anlage NEU 13,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288304,288304,POINT (16.508632684436943 48.16659677053623),22,Donauinsel Anlage NEU 5,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Wartepersonal,
WCANLAGEOGD.288305,288305,POINT (16.40420649307552 48.22725199476612),2,Handelskai (bei  Reichsbrücke rechter Donaudamm/F),,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und mit Wartepersonal,
WCANLAGEOGD.288306,288306,POINT (16.465505460971652 48.19094356436594),22,Donauinsel Anlage Ruderzentrum,,+43 (1) 4000 96 500,Mo-So: 0-24 Uhr,https://www.wien.gv.at/umwelt/wasserbau/donauinsel/,M45,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
